================ Training Loss (Thu Feb 15 07:10:28 2024) ================
================ Training Loss (Thu Feb 15 07:15:28 2024) ================
================ Training Loss (Thu Feb 15 07:16:21 2024) ================
================ Training Loss (Thu Feb 15 07:17:00 2024) ================
================ Training Loss (Thu Feb 15 07:17:35 2024) ================
================ Training Loss (Thu Feb 15 07:18:59 2024) ================
(epoch: 63, iters: 44, time: 0.400, data: 0.002) D: 0.251 G_B: 0.247 Idt_B: 0.035 
(epoch: 64, iters: 56, time: 0.202, data: 0.001) D: 0.261 G_B: 0.274 Idt_B: 0.078 
(epoch: 65, iters: 68, time: 0.242, data: 0.001) D: 0.255 G_B: 0.258 Idt_B: 0.038 
(epoch: 66, iters: 80, time: 0.202, data: 0.008) D: 0.250 G_B: 0.244 Idt_B: 0.033 
(epoch: 68, iters: 4, time: 0.198, data: 0.001) D: 0.250 G_B: 0.247 Idt_B: 0.035 
(epoch: 69, iters: 16, time: 0.212, data: 0.002) D: 0.250 G_B: 0.248 Idt_B: 0.025 
(epoch: 70, iters: 28, time: 0.200, data: 0.001) D: 0.250 G_B: 0.253 Idt_B: 0.028 
(epoch: 71, iters: 40, time: 0.203, data: 0.001) D: 0.251 G_B: 0.243 Idt_B: 0.026 
(epoch: 72, iters: 52, time: 0.203, data: 0.001) D: 0.251 G_B: 0.247 Idt_B: 0.030 
(epoch: 73, iters: 64, time: 0.229, data: 0.001) D: 0.251 G_B: 0.261 Idt_B: 0.030 
(epoch: 74, iters: 76, time: 0.205, data: 0.003) D: 0.250 G_B: 0.245 Idt_B: 0.024 
(epoch: 75, iters: 88, time: 0.202, data: 0.001) D: 0.250 G_B: 0.252 Idt_B: 0.022 
(epoch: 77, iters: 12, time: 0.240, data: 0.075) D: 0.250 G_B: 0.256 Idt_B: 0.027 
(epoch: 78, iters: 24, time: 0.210, data: 0.008) D: 0.250 G_B: 0.243 Idt_B: 0.024 
(epoch: 79, iters: 36, time: 0.202, data: 0.001) D: 0.250 G_B: 0.253 Idt_B: 0.020 
(epoch: 80, iters: 48, time: 0.207, data: 0.001) D: 0.250 G_B: 0.250 Idt_B: 0.027 
